Function	Provider	MEASURE	Measure	LOCATION	Country	Year	Unit Code	Unit	Value
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2016	PC	Percentage	10.976
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2017	PC	Percentage	11.019
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2018	PC	Percentage	11.037
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2010	PC	Percentage	5.054
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2011	PC	Percentage	4.688
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2012	PC	Percentage	4.478
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2013	PC	Percentage	4.404
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2014	PC	Percentage	4.347
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2015	PC	Percentage	4.139
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2016	PC	Percentage	4.314
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2017	PC	Percentage	4.216
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2018	PC	Percentage	4.172
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2010	PC	Percentage	8.667
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2011	PC	Percentage	8.489
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2012	PC	Percentage	8.601
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2013	PC	Percentage	8.569
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2014	PC	Percentage	8.564
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2015	PC	Percentage	8.61
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2016	PC	Percentage	8.565
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2017	PC	Percentage	8.493
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2018	PC	Percentage	8.837
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2010	PC	Percentage	8.581
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2011	PC	Percentage	8.524
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2012	PC	Percentage	8.617
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2013	PC	Percentage	8.728
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2014	PC	Percentage	8.87
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2015	PC	Percentage	8.787
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2016	PC	Percentage	9.535
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2017	PC	Percentage	9.433
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2018	PC	Percentage	9.323
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2010	PC	Percentage	6.601
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2011	PC	Percentage	6.002
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2012	PC	Percentage	5.903
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2013	PC	Percentage	5.229
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2014	PC	Percentage	4.627
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2015	PC	Percentage	4.689
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2016	PC	Percentage	5.056
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2017	PC	Percentage	4.892
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2018	PC	Percentage	4.728
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2010	PC	Percentage	7.024
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2011	PC	Percentage	6.804
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2012	PC	Percentage	6.819
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2013	PC	Percentage	6.809
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2014	PC	Percentage	6.817
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2015	PC	Percentage	6.704
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2016	PC	Percentage	6.627
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2017	PC	Percentage	6.533
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2018	PC	Percentage	6.542
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2010	PC	Percentage	7.535
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2011	PC	Percentage	7.412
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2012	PC	Percentage	7.429
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2013	PC	Percentage	7.581
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2014	PC	Percentage	7.955
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2015	PC	Percentage	8.645
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2016	PC	Percentage	8.981
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2017	PC	Percentage	8.929
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2018	PC	Percentage	8.704
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2010	PC	Percentage	6.851
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2011	PC	Percentage	6.452
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2012	PC	Percentage	6.13
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2013	PC	Percentage	6.083
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2014	PC	Percentage	5.962
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2015	PC	Percentage	5.936
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2016	PC	Percentage	5.993
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2017	PC	Percentage	5.948
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2018	PC	Percentage	6.048
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2010	PC	Percentage	6.941
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2011	PC	Percentage	8.956
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2012	PC	Percentage	9.132
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2013	PC	Percentage	9.246
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2014	PC	Percentage	9.278
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2015	PC	Percentage	9.17
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2016	PC	Percentage	9.154
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2017	PC	Percentage	9.222
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2018	PC	Percentage	9.259
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2010	PC	Percentage	3.942
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2011	PC	Percentage	3.709
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2012	PC	Percentage	3.545
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2013	PC	Percentage	3.451
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2014	PC	Percentage	3.374
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2015	PC	Percentage	3.234
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2016	PC	Percentage	3.384
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2017	PC	Percentage	3.277
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2018	PC	Percentage	3.256
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2010	PC	Percentage	0.179
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2011	PC	Percentage	0.186
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2012	PC	Percentage	0.191
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2013	PC	Percentage	0.196
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2014	PC	Percentage	0.207
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2015	PC	Percentage	0.219
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2016	PC	Percentage	0.22
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2017	PC	Percentage	0.226
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2010	PC	Percentage	1.51
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2011	PC	Percentage	1.534
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2012	PC	Percentage	1.555
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2013	PC	Percentage	1.572
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2014	PC	Percentage	1.562
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2015	PC	Percentage	1.56
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2016	PC	Percentage	0.848
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2017	PC	Percentage	0.819
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2010	PC	Percentage	0.268
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2011	PC	Percentage	0.267
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2012	PC	Percentage	0.29
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2013	PC	Percentage	0.282
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2014	PC	Percentage	0.308
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2015	PC	Percentage	0.321
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2016	PC	Percentage	0.338
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2017	PC	Percentage	0.341
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2010	PC	Percentage	0.089
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2011	PC	Percentage	0.085
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2012	PC	Percentage	0.196
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2013	PC	Percentage	0.195
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2014	PC	Percentage	0.2
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2015	PC	Percentage	0.204
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2016	PC	Percentage	0.218
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2017	PC	Percentage	0.231
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2018	PC	Percentage	0.236
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2010	PC	Percentage	0.02
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2011	PC	Percentage	0.032
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2012	PC	Percentage	0.039
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2013	PC	Percentage	0.034
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2014	PC	Percentage	0.031
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2015	PC	Percentage	0.035
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2016	PC	Percentage	0.037
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2017	PC	Percentage	0.037
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2018	PC	Percentage	0.035
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2010	PC	Percentage	0.557
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2011	PC	Percentage	0.572
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2012	PC	Percentage	0.585
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2013	PC	Percentage	0.556
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2014	PC	Percentage	0.561
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2015	PC	Percentage	0.548
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2016	PC	Percentage	0.533
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2017	PC	Percentage	0.552
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2018	PC	Percentage	0.563
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2010	PC	Percentage	0.1
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2011	PC	Percentage	0.106
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2012	PC	Percentage	0.111
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2013	PC	Percentage	0.12
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2014	PC	Percentage	0.125
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2015	PC	Percentage	0.129
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2016	PC	Percentage	0.139
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2017	PC	Percentage	0.14
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2018	PC	Percentage	0.143
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2010	PC	Percentage	0.259
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2011	PC	Percentage	0.233
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2012	PC	Percentage	0.219
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2013	PC	Percentage	0.208
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2014	PC	Percentage	0.203
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2015	PC	Percentage	0.204
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2016	PC	Percentage	0.22
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	TUR	Turkey	2017	PC	Percentage	0.207
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2010	PC	Percentage	1.486
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2011	PC	Percentage	1.477
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2012	PC	Percentage	1.45
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2013	PC	Percentage	1.404
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2014	PC	Percentage	1.401
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2015	PC	Percentage	1.399
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2016	PC	Percentage	1.396
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2017	PC	Percentage	1.389
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2010	PC	Percentage	1.149
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2011	PC	Percentage	1.145
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2012	PC	Percentage	1.143
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2013	PC	Percentage	1.135
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2014	PC	Percentage	1.139
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2015	PC	Percentage	1.112
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2016	PC	Percentage	1.096
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2017	PC	Percentage	1.062
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2010	PC	Percentage	2.689
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2011	PC	Percentage	2.813
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2012	PC	Percentage	2.677
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2013	PC	Percentage	2.835
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2014	PC	Percentage	2.912
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2015	PC	Percentage	2.947
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2016	PC	Percentage	2.866
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2017	PC	Percentage	2.795
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2010	PC	Percentage	1.84
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2011	PC	Percentage	1.946
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2012	PC	Percentage	1.942
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2013	PC	Percentage	1.948
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2014	PC	Percentage	1.995
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2015	PC	Percentage	2.08
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2016	PC	Percentage	2.036
