Health_condition,Measure,Country,Year,Value,,
Pneumonia,Deaths per 100 000 males (standardised rates),Austria,2016,10.2,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Belgium,2016,103.1,,
Influenza,Deaths per 100 000 males (standardised rates),Belgium,2016,0.8,,
Pneumonia,Deaths per 100 000 males (standardised rates),Belgium,2016,33.5,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Czech Republic,2016,85.7,,
Influenza,Deaths per 100 000 males (standardised rates),Czech Republic,2016,1.3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Czech Republic,2016,33.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Finland,2016,44.1,,
Influenza,Deaths per 100 000 males (standardised rates),Finland,2016,3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Finland,2016,2.7,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Germany,2016,73.4,,
Influenza,Deaths per 100 000 males (standardised rates),Germany,2016,0.3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Germany,2016,20.9,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Greece,2016,95.7,,
Influenza,Deaths per 100 000 males (standardised rates),Greece,2016,1.2,,
Pneumonia,Deaths per 100 000 males (standardised rates),Greece,2016,8.5,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Hungary,2016,92.5,,
Influenza,Deaths per 100 000 males (standardised rates),Hungary,2016,0.2,,
Pneumonia,Deaths per 100 000 males (standardised rates),Hungary,2016,12.7,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Iceland,2016,61.2,,
Pneumonia,Deaths per 100 000 males (standardised rates),Iceland,2016,22.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Japan,2016,131.7,,
Influenza,Deaths per 100 000 males (standardised rates),Japan,2016,0.9,,
Pneumonia,Deaths per 100 000 males (standardised rates),Japan,2016,72.1,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Korea,2016,121.2,,
Influenza,Deaths per 100 000 males (standardised rates),Korea,2016,0.6,,
Pneumonia,Deaths per 100 000 males (standardised rates),Korea,2016,65.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Luxembourg,2016,64,,
Influenza,Deaths per 100 000 males (standardised rates),Luxembourg,2016,0.5,,
Pneumonia,Deaths per 100 000 males (standardised rates),Luxembourg,2016,17.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Mexico,2016,117.6,,
Influenza,Deaths per 100 000 males (standardised rates),Mexico,2016,0.3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Mexico,2016,39.1,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Netherlands,2016,76.7,,
Influenza,Deaths per 100 000 males (standardised rates),Netherlands,2016,1.8,,
Pneumonia,Deaths per 100 000 males (standardised rates),Netherlands,2016,20.3,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Norway,2016,89.5,,
Influenza,Deaths per 100 000 males (standardised rates),Norway,2016,1,,
Pneumonia,Deaths per 100 000 males (standardised rates),Norway,2016,31.2,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Poland,2016,86.9,,
Influenza,Deaths per 100 000 males (standardised rates),Poland,2016,0.3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Poland,2016,49.1,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Portugal,2016,127.6,,
Influenza,Deaths per 100 000 males (standardised rates),Portugal,2016,1.1,,
Pneumonia,Deaths per 100 000 males (standardised rates),Portugal,2016,56.4,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Spain,2016,103.6,,
Influenza,Deaths per 100 000 males (standardised rates),Spain,2016,1.3,,
Pneumonia,Deaths per 100 000 males (standardised rates),Spain,2016,18.9,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Sweden,2016,55.8,,
Influenza,Deaths per 100 000 males (standardised rates),Sweden,2016,2.1,,
Pneumonia,Deaths per 100 000 males (standardised rates),Sweden,2016,17.9,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Switzerland,2016,53.8,,
Influenza,Deaths per 100 000 males (standardised rates),Switzerland,2016,0.9,,
Pneumonia,Deaths per 100 000 males (standardised rates),Switzerland,2016,14.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Turkey,2016,167.7,,
Influenza,Deaths per 100 000 males (standardised rates),Turkey,2016,0.9,,
Pneumonia,Deaths per 100 000 males (standardised rates),Turkey,2016,52,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),United Kingdom,2016,120.6,,
Influenza,Deaths per 100 000 males (standardised rates),United Kingdom,2016,0.6,,
Pneumonia,Deaths per 100 000 males (standardised rates),United Kingdom,2016,41.7,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),United States,2016,94.5,,
Influenza,Deaths per 100 000 males (standardised rates),United States,2016,0.9,,
Pneumonia,Deaths per 100 000 males (standardised rates),United States,2016,17.4,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Chile,2016,143.7,,
Influenza,Deaths per 100 000 males (standardised rates),Chile,2016,0.8,,
Pneumonia,Deaths per 100 000 males (standardised rates),Chile,2016,49.1,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Estonia,2016,61.1,,
Influenza,Deaths per 100 000 males (standardised rates),Estonia,2016,3.1,,
Pneumonia,Deaths per 100 000 males (standardised rates),Estonia,2016,25,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Israel,2016,66.8,,
Influenza,Deaths per 100 000 males (standardised rates),Israel,2016,1,,
Pneumonia,Deaths per 100 000 males (standardised rates),Israel,2016,21.5,,
Diseases of the respiratory system,Number of female deaths,Australia,2016,7328,,
Influenza,Number of female deaths,Australia,2016,271,,
Pneumonia,Number of female deaths,Australia,2016,1637,,
Diseases of the respiratory system,Number of female deaths,Austria,2016,2016,,
Influenza,Number of female deaths,Austria,2016,16,,
Pneumonia,Number of female deaths,Austria,2016,518,,
Diseases of the respiratory system,Number of female deaths,Belgium,2016,5228,,
Influenza,Number of female deaths,Belgium,2016,65,,
Pneumonia,Number of female deaths,Belgium,2016,2050,,
Diseases of the respiratory system,Number of female deaths,Czech Republic,2016,3144,,
Influenza,Number of female deaths,Czech Republic,2016,47,,
Pneumonia,Number of female deaths,Czech Republic,2016,1323,,
Diseases of the respiratory system,Number of female deaths,Finland,2016,859,,
Influenza,Number of female deaths,Finland,2016,89,,
Pneumonia,Number of female deaths,Finland,2016,78,,
Diseases of the respiratory system,Number of female deaths,Germany,2016,29509,,
Influenza,Number of female deaths,Germany,2016,122,,
Pneumonia,Number of female deaths,Germany,2016,9166,,
Diseases of the respiratory system,Number of female deaths,Greece,2016,7042,,
Influenza,Number of female deaths,Greece,2016,63,,
Pneumonia,Number of female deaths,Greece,2016,579,,
Diseases of the respiratory system,Number of female deaths,Hungary,2016,3285,,
Pneumonia,Number of female deaths,Hungary,2016,499,,
Diseases of the respiratory system,Number of female deaths,Iceland,2016,105,,
Influenza,Number of female deaths,Iceland,2016,3,,
Pneumonia,Number of female deaths,Iceland,2016,35,,
Diseases of the respiratory system,Number of female deaths,Japan,2016,88365,,
Influenza,Number of female deaths,Japan,2016,715,,
Pneumonia,Number of female deaths,Japan,2016,53664,,
Diseases of the respiratory system,Number of female deaths,Korea,2016,13010,,
Influenza,Number of female deaths,Korea,2016,118,,
Pneumonia,Number of female deaths,Korea,2016,7890,,
Diseases of the respiratory system,Number of female deaths,Luxembourg,2016,145,,
Influenza,Number of female deaths,Luxembourg,2016,2,,
Pneumonia,Number of female deaths,Luxembourg,2016,45,,
Diseases of the respiratory system,Number of female deaths,Mexico,2016,26783,,
Influenza,Number of female deaths,Mexico,2016,106,,
Pneumonia,Number of female deaths,Mexico,2016,9021,,
Diseases of the respiratory system,Number of female deaths,Netherlands,2016,5929,,
Influenza,Number of female deaths,Netherlands,2016,183,,
Pneumonia,Number of female deaths,Netherlands,2016,1641,,
Diseases of the respiratory system,Number of female deaths,Norway,2016,2269,,
Influenza,Number of female deaths,Norway,2016,43,,
Pneumonia,Number of female deaths,Norway,2016,867,,
Diseases of the respiratory system,Number of female deaths,Poland,2016,9992,,
Influenza,Number of female deaths,Poland,2016,36,,
Pneumonia,Number of female deaths,Poland,2016,6110,,
Diseases of the respiratory system,Number of female deaths,Portugal,2016,6440,,
Influenza,Number of female deaths,Portugal,2016,61,,
Pneumonia,Number of female deaths,Portugal,2016,2937,,
Diseases of the respiratory system,Number of female deaths,Spain,2016,20615,,
Influenza,Number of female deaths,Spain,2016,312,,
Pneumonia,Number of female deaths,Spain,2016,4393,,
Diseases of the respiratory system,Number of female deaths,Sweden,2016,3258,,
Influenza,Number of female deaths,Sweden,2016,111,,
Pneumonia,Number of female deaths,Sweden,2016,885,,
Diseases of the respiratory system,Number of female deaths,Switzerland,2016,1925,,
Influenza,Number of female deaths,Switzerland,2016,45,,
Pneumonia,Number of female deaths,Switzerland,2016,619,,
Diseases of the respiratory system,Number of female deaths,Turkey,2016,20814,,
Influenza,Number of female deaths,Turkey,2016,163,,
Pneumonia,Number of female deaths,Turkey,2016,8230,,
Diseases of the respiratory system,Number of female deaths,United Kingdom,2016,41749,,
Influenza,Number of female deaths,United Kingdom,2016,186,,
Pneumonia,Number of female deaths,United Kingdom,2016,16198,,
Diseases of the respiratory system,Number of female deaths,United States,2016,136330,,
Influenza,Number of female deaths,United States,2016,1372,,
Pneumonia,Number of female deaths,United States,2016,25049,,
Diseases of the respiratory system,Number of female deaths,Chile,2016,4993,,
Influenza,Number of female deaths,Chile,2016,35,,
Pneumonia,Number of female deaths,Chile,2016,1626,,
Diseases of the respiratory system,Number of female deaths,Estonia,2016,217,,
Influenza,Number of female deaths,Estonia,2016,8,,
Pneumonia,Number of female deaths,Estonia,2016,107,,
Diseases of the respiratory system,Number of female deaths,Israel,2016,1738,,
Influenza,Number of female deaths,Israel,2016,37,,
Pneumonia,Number of female deaths,Israel,2016,596,,
Diseases of the respiratory system,Number of male deaths,Australia,2016,7455,,
Influenza,Number of male deaths,Australia,2016,182,,
Pneumonia,Number of male deaths,Australia,2016,1233,,
Diseases of the respiratory system,Number of male deaths,Austria,2016,2319,,
Influenza,Number of male deaths,Austria,2016,22,,
Pneumonia,Number of male deaths,Austria,2016,424,,
Diseases of the respiratory system,Number of male deaths,Belgium,2016,5976,,
Influenza,Number of male deaths,Belgium,2016,49,,
Pneumonia,Number of male deaths,Belgium,2016,1906,,
Diseases of the respiratory system,Number of male deaths,Czech Republic,2016,3984,,
Influenza,Number of male deaths,Czech Republic,2016,64,,
Pneumonia,Number of male deaths,Czech Republic,2016,1455,,
Diseases of the respiratory system,Number of male deaths,Finland,2016,1274,,
Influenza,Number of male deaths,Finland,2016,84,,
Pneumonia,Number of male deaths,Finland,2016,73,,
Diseases of the respiratory system,Number of male deaths,Germany,2016,34905,,
Influenza,Number of male deaths,Germany,2016,155,,
Pneumonia,Number of male deaths,Germany,2016,9539,,
Diseases of the respiratory system,Number of male deaths,Greece,2016,6767,,
Influenza,Number of male deaths,Greece,2016,72,,
Pneumonia,Number of male deaths,Greece,2016,587,,
Diseases of the respiratory system,Number of male deaths,Hungary,2016,3920,,
Influenza,Number of male deaths,Hungary,2016,8,,
Pneumonia,Number of male deaths,Hungary,2016,499,,
Diseases of the respiratory system,Number of male deaths,Iceland,2016,85,,
Pneumonia,Number of male deaths,Iceland,2016,30,,
Diseases of the respiratory system,Number of male deaths,Japan,2016,120238,,
Influenza,Number of male deaths,Japan,2016,748,,
Pneumonia,Number of male deaths,Japan,2016,65636,,
Diseases of the respiratory system,Number of male deaths,Korea,2016,16394,,
Influenza,Number of male deaths,Korea,2016,104,,
Pneumonia,Number of male deaths,Korea,2016,8586,,
Diseases of the respiratory system,Number of male deaths,Luxembourg,2016,147,,
Influenza,Number of male deaths,Luxembourg,2016,1,,
Pneumonia,Number of male deaths,Luxembourg,2016,40,,
Diseases of the respiratory system,Number of male deaths,Mexico,2016,31540,,
Influenza,Number of male deaths,Mexico,2016,147,,
Pneumonia,Number of male deaths,Mexico,2016,11502,,
Diseases of the respiratory system,Number of male deaths,Netherlands,2016,6055,,
Influenza,Number of male deaths,Netherlands,2016,157,,
Pneumonia,Number of male deaths,Netherlands,2016,1489,,
Diseases of the respiratory system,Number of male deaths,Norway,2016,2073,,
Influenza,Number of male deaths,Norway,2016,24,,
Pneumonia,Number of male deaths,Norway,2016,689,,
Diseases of the respiratory system,Number of male deaths,Poland,2016,13021,,
Influenza,Number of male deaths,Poland,2016,67,,
Pneumonia,Number of male deaths,Poland,2016,7213,,
Diseases of the respiratory system,Number of male deaths,Portugal,2016,7034,,
Influenza,Number of male deaths,Portugal,2016,62,,
Pneumonia,Number of male deaths,Portugal,2016,3069,,
Diseases of the respiratory system,Number of male deaths,Spain,2016,26197,,
Influenza,Number of male deaths,Spain,2016,335,,
Pneumonia,Number of male deaths,Spain,2016,4767,,
Diseases of the respiratory system,Number of male deaths,Sweden,2016,2993,,
Influenza,Number of male deaths,Sweden,2016,115,,
Pneumonia,Number of male deaths,Sweden,2016,929,,
Diseases of the respiratory system,Number of male deaths,Switzerland,2016,2183,,
Influenza,Number of male deaths,Switzerland,2016,37,,
Pneumonia,Number of male deaths,Switzerland,2016,571,,
Diseases of the respiratory system,Number of male deaths,Turkey,2016,28481,,
Influenza,Number of male deaths,Turkey,2016,183,,
Pneumonia,Number of male deaths,Turkey,2016,8591,,
Diseases of the respiratory system,Number of male deaths,United Kingdom,2016,39765,,
Influenza,Number of male deaths,United Kingdom,2016,209,,
Pneumonia,Number of male deaths,United Kingdom,2016,13417,,
Diseases of the respiratory system,Number of male deaths,United States,2016,129707,,
Influenza,Number of male deaths,United States,2016,1280,,
Pneumonia,Number of male deaths,United States,2016,23583,,
Diseases of the respiratory system,Number of male deaths,Chile,2016,4854,,
Influenza,Number of male deaths,Chile,2016,42,,
Pneumonia,Number of male deaths,Chile,2016,1540,,
Diseases of the respiratory system,Number of male deaths,Estonia,2016,332,,
Influenza,Number of male deaths,Estonia,2016,18,,
Pneumonia,Number of male deaths,Estonia,2016,133,,
Diseases of the respiratory system,Number of male deaths,Israel,2016,1783,,
Influenza,Number of male deaths,Israel,2016,28,,
Pneumonia,Number of male deaths,Israel,2016,563,,
Diseases of the respiratory system,Number of total deaths,Australia,2016,14783,,
Influenza,Number of total deaths,Australia,2016,453,,
Pneumonia,Number of total deaths,Australia,2016,2870,,
Diseases of the respiratory system,Number of total deaths,Austria,2016,4335,,
Influenza,Number of total deaths,Austria,2016,38,,
Pneumonia,Number of total deaths,Austria,2016,942,,
Diseases of the respiratory system,Number of total deaths,Belgium,2016,11204,,
Influenza,Number of total deaths,Belgium,2016,114,,
Pneumonia,Number of total deaths,Belgium,2016,3956,,
Diseases of the respiratory system,Number of total deaths,Czech Republic,2016,7128,,
Influenza,Number of total deaths,Czech Republic,2016,111,,
Pneumonia,Number of total deaths,Czech Republic,2016,2778,,
Diseases of the respiratory system,Number of total deaths,Finland,2016,2133,,
Influenza,Number of total deaths,Finland,2016,173,,
