"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2015","2015",65138,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2016","2016",64838,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2017","2017",64805,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2000","2000",54869,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2001","2001",54305,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2002","2002",53881,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2003","2003",53247,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2004","2004",53035,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2005","2005",52870,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2006","2006",52679,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2007","2007",52922,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2008","2008",52364,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2009","2009",51967,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2010","2010",51504,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2011","2011",51189,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2012","2012",50541,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2013","2013",49792,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2014","2014",49395,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2015","2015",48860,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2016","2016",48472,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","AUT","Austria","2017","2017",47920,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2000","2000",3590,"B","Break"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2001","2001",3552,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2002","2002",3776,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2003","2003",3613,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2004","2004",3548,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2005","2005",3387,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2006","2006",3553,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2007","2007",3863,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2008","2008",3735,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2009","2009",3897,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2010","2010",3888,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2011","2011",4285,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2012","2012",4360,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2013","2013",4725,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2014","2014",5156,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2015","2015",5876,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2016","2016",5877,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","AUT","Austria","2017","2017",5832,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2000","2000",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2001","2001",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2002","2002",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2003","2003",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2004","2004",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2005","2005",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2006","2006",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2007","2007",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2008","2008",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2009","2009",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2010","2010",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2011","2011",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2012","2012",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2013","2013",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2014","2014",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2015","2015",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2016","2016",0,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","AUT","Austria","2017","2017",0,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2000","2000",68903,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2001","2001",68104,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2002","2002",67570,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2003","2003",67739,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2004","2004",67566,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2005","2005",67430,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2006","2006",67009,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2007","2007",66588,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2008","2008",66925,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2009","2009",66422,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2010","2010",66645,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2011","2011",66785,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2012","2012",66477,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2013","2013",66148,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2014","2014",65590,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2015","2015",65753,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2016","2016",65314,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2017","2017",64423,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2018","2018",64248,"P","Provisional value"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2000","2000",63510,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2001","2001",62005,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2002","2002",61159,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2003","2003",61179,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2004","2004",60893,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2005","2005",60683,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2006","2006",60071,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2007","2007",59656,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2008","2008",59909,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2009","2009",59245,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2010","2010",59482,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2011","2011",59422,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2012","2012",58879,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2013","2013",58519,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2014","2014",58777,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2015","2015",58531,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2016","2016",58025,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2017","2017",56927,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","BEL","Belgium","2018","2018",56758,"P","Provisional value"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2000","2000",1832,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2001","2001",2023,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2002","2002",2085,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2003","2003",2020,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2004","2004",1899,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2005","2005",1874,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2006","2006",1898,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2007","2007",1851,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2008","2008",1776,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2009","2009",1846,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2010","2010",1800,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2011","2011",1760,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2012","2012",1759,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2013","2013",1751,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2014","2014",1119,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2015","2015",1159,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2016","2016",1159,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2017","2017",1165,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","BEL","Belgium","2018","2018",1165,"P","Provisional value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2000","2000",115829,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2001","2001",114376,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2002","2002",114174,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2003","2003",110637,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2004","2004",109868,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2005","2005",99957,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2006","2006",98289,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2007","2007",97460,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2008","2008",94801,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2009","2009",94297,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2010","2010",94702,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2011","2011",96040,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2012","2012",96710,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2013","2013",95409,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2014","2014",94779,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2015","2015",93595,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2016","2016",93715,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2017","2017",92462,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2018","2018",92466,"P","Provisional value"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2000","2000",106752,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2001","2001",104831,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2002","2002",104185,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2003","2003",100676,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2004","2004",100567,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2005","2005",87917,"B","Break"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2006","2006",73135,"B","Break"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2007","2007",72417,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2008","2008",72113,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2009","2009",71318,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2010","2010",71224,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2011","2011",72003,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2012","2012",73039,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2013","2013",72891,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2014","2014",73214,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2015","2015",72447,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2016","2016",73031,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2017","2017",71908,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CAN","Canada","2018","2018",71909,"P","Provisional value"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2000","2000",7019,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2001","2001",7454,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2002","2002",7795,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2003","2003",7469,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2004","2004",6807,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2005","2005",10199,"B","Break"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2006","2006",21238,"B","Break"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2007","2007",21083,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2008","2008",18731,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2009","2009",18765,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2010","2010",18997,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2011","2011",19037,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2012","2012",18444,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2013","2013",17829,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2014","2014",16940,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2015","2015",16211,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2016","2016",15913,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2017","2017",15783,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CAN","Canada","2018","2018",15784,"P","Provisional value"
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2006","2006",349,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2007","2007",318,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2008","2008",304,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2009","2009",612,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2010","2010",622,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2011","2011",606,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2012","2012",584,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2013","2013",197,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2014","2014",221,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2015","2015",619,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2016","2016",219,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2017","2017",346,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CAN","Canada","2018","2018",347,"P","Provisional value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2000","2000",79985,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2001","2001",79354,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2002","2002",79177,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2003","2003",78825,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2004","2004",78004,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2005","2005",77309,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2006","2006",76245,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2007","2007",75502,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2008","2008",74924,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2009","2009",74607,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2010","2010",76413,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2011","2011",74136,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2012","2012",72842,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2013","2013",70462,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2014","2014",70270,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2015","2015",70313,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2016","2016",70419,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czech Republic","2017","2017",70214,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2000","2000",59300,"B","Break"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2001","2001",58494,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2002","2002",58033,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2003","2003",56918,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2004","2004",55408,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2005","2005",54787,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2006","2006",54034,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2007","2007",53652,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2008","2008",52979,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2009","2009",52290,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2010","2010",50270,"B","Break"
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2011","2011",48187,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2012","2012",46863,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2013","2013",44345,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2014","2014",44047,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2015","2015",43894,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2016","2016",43773,,
"HOPILICS","Curative (acute) care beds","NOMBRENB","Number","CZE","Czech Republic","2017","2017",43531,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2000","2000",14728,"B","Break"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2001","2001",14858,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2002","2002",15062,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2003","2003",15712,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2004","2004",16255,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2005","2005",16275,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2006","2006",16097,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2007","2007",15864,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2008","2008",15937,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2009","2009",16201,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2010","2010",20589,"B","Break"
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2011","2011",20359,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2012","2012",20264,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2013","2013",20217,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2014","2014",20191,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2015","2015",20496,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2016","2016",20668,,
"HOPILIMM","Long-term care beds","NOMBRENB","Number","CZE","Czech Republic","2017","2017",20742,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2000","2000",3389,"B","Break"
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2001","2001",3305,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2002","2002",3274,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2003","2003",3111,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2004","2004",3096,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2005","2005",2708,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2006","2006",2590,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2007","2007",2504,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2008","2008",2326,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2009","2009",2230,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2010","2010",1667,"B","Break"
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2011","2011",1647,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2012","2012",1708,,
"HOPIOBED","Other hospital beds","NOMBRENB","Number","CZE","Czech Republic","2013","2013",1543,,
